id,tournament_id
400507892,NA
400505251,NA
400508492,NA
400508491,NA
400507894,NA
400507893,NA
400505253,NA
400505252,NA
400505250,NA
400514665,NA
400508865,NA
400508863,NA
400510527,NA
400503805,NA
400508489,NA
400508490,NA
400510565,NA
400514836,NA
400511747,NA
400511145,NA
400510396,NA
400510395,NA
400509191,NA
400509190,NA
400509188,NA
400508862,NA
400507586,NA
400505078,NA
400505076,NA
400511146,NA
400511144,NA
400511143,NA
400509239,NA
400509187,NA
400508864,NA
400507585,NA
400507584,NA
400507583,NA
400508866,NA
400510394,NA
400508868,NA
400507582,NA
400507581,NA
400507580,NA
400511726,NA
400535812,NA
400509189,NA
400508867,NA
400509690,NA
400511602,NA
400511601,NA
400511600,NA
400511599,NA
400511598,NA
400512215,NA
400512214,NA
400512211,NA
400510995,NA
400510956,NA
400510868,NA
400510600,NA
400503804,NA
400503803,NA
400503802,NA
400511386,NA
400512834,NA
400512610,NA
400512551,NA
400512212,NA
400510928,NA
400510208,NA
400510207,NA
400509534,NA
400509384,NA
400509383,NA
400510905,NA
400515363,NA
400510206,NA
400510205,NA
400510209,NA
400512856,NA
400510887,NA
400509535,NA
400509382,NA
400511048,NA
400512598,NA
400511409,NA
400510393,NA
400509533,NA
400509381,NA
400508488,NA
400534794,NA
400509689,NA
400511783,NA
400534774,NA
400504887,NA
400508861,NA
400515234,NA
400511692,NA
400511684,NA
400511646,NA
400511334,NA
400511313,NA
400510701,NA
400510700,NA
400510699,NA
400510545,NA
400504886,NA
400504885,NA
400510817,NA
400510816,NA
400510815,NA
400510812,NA
400512457,NA
400512435,NA
400512273,NA
400512414,NA
400512377,NA
400512330,NA
400509864,NA
400509865,NA
400503801,NA
400509863,NA
400505393,NA
400505392,NA
400508860,NA
400509862,NA
400511141,NA
400509928,NA
400508487,NA
400508486,NA
400503800,NA
400503799,NA
400509861,NA
400508483,NA
400508484,NA
400510629,NA
400508855,NA
400508858,NA
400512447,NA
400512394,NA
400512348,NA
400512311,NA
400512291,NA
400511140,NA
400511139,NA
400509532,NA
400509380,NA
400509379,NA
400508859,NA
400508856,NA
400508485,NA
400511399,NA
400511009,NA
400511142,NA
400510392,NA
400510391,NA
400509531,NA
400508857,NA
400508482,NA
400510564,NA
400512209,NA
400505917,NA
400512833,NA
400507891,NA
400507890,NA
400512550,NA
400512208,NA
400511597,NA
400511486,NA
400511485,NA
400510390,NA
400505915,NA
400510814,NA
400504884,NA
400515816,NA
400511484,NA
400511483,NA
400509860,NA
400504880,NA
400511194,NA
400534734,NA
400512210,NA
400511596,NA
400511267,NA
400511239,NA
400511176,NA
400509688,NA
400509687,NA
400509530,NA
400507579,NA
400507578,NA
400505916,NA
400505914,NA
400504883,NA
400505075,NA
400515817,NA
400515250,NA
400512434,NA
400512413,NA
400511764,NA
400511683,NA
400511595,NA
400511594,NA
400511228,NA
400510813,NA
